Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10418,Buchet trandafiri Maria,199.0,199.0,{'Trandafir': 7},81.0,-118.0,-0.592964824120603
10366,Dulce primavara,439.0,439.0,{'Trandafir': 17},181.0,-258.0,-0.5876993166287016
10423,Buchet 19 irisi mov,311.4,311.4,{'Iris': 19},87.0,-224.0,-0.7193320488118177
10276,Buchet lalele multicolore,304.47,358.2,{'Lalea': 25},136.0,-168.0,-0.5517785003448615
10279,Frezii si trandafiri,385.2,385.2,"{'Trandafir': 7, 'Frezia': 14}",151.0,-234.0,-0.6074766355140188
10434,Buchet 101 lalele,1078.2,1078.2,{'Lalea': 101},516.0,-562.0,-0.5212391022073827
1025,Frezii multicolore,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
10414,Buchet crini roz,314.28,349.2,{'Crin': 5},111.0,-203.0,-0.6459208349242714
10370,Cutie 7 trandafiri rosii,249.0,249.0,{'Trandafir': 7},81.0,-168.0,-0.6746987951807228
10371,Cutie 7 trandafiri roz,249.0,249.0,{'Trandafir': 7},81.0,-168.0,-0.6746987951807228
10372,Cutie 7 trandafiri albi,249.0,249.0,{'Trandafir': 7},81.0,-168.0,-0.6746987951807228
10299,Pachet de primavara,329.0,329.0,"{'Trandafir': 4, 'Gerbera': 4, 'Crizantema': 4, 'Garoafa': 5}",122.0,-207.0,-0.6291793313069909
10413,Simfonie Florala,417.6,417.6,"{'Trandafir': 7, 'Gerbera': 7, 'Crizantema': 4, 'Garoafa': 7, 'Hypericum': 2}",192.0,-226.0,-0.5411877394636015
101,19 Trandafiri,394.2,394.2,{'Trandafir': 19},201.0,-193.0,-0.48959918822932524
10298,Buchet 99 trandafiri rosii,1690.31,1798.2,{'Trandafir': 99},1001.0,-689.0,-0.4076175376114441
10415,Buchet 201 trandafiri,3238.38,3598.2,{'Trandafir': 201},2021.0,-1217.0,-0.3758051865438892
1014,11 Trandafiri rosii,259.2,259.2,{'Trandafir': 11},121.0,-138.0,-0.5324074074074074
10277,Buchet 5 trandafiri,149.0,149.0,{'Trandafir': 5},61.0,-88.0,-0.5906040268456376
1017,11 Trandafiri roz,259.2,259.2,{'Trandafir': 11},121.0,-138.0,-0.5324074074074074
1016,11 Trandafiri albi,259.2,259.2,{'Trandafir': 11},121.0,-138.0,-0.5324074074074074
10281,Buchet 35 trandafiri,673.2,673.2,{'Trandafir': 35},361.0,-312.0,-0.46345811051693403
10162,Senzualitate magica,1078.2,1078.2,{'Trandafir': 59},601.0,-477.0,-0.44240400667779634
10106,11 Trandafiri portocalii,259.2,259.2,{'Trandafir': 11},121.0,-138.0,-0.5324074074074074
1015,11 Trandafiri galbeni,259.2,259.2,{'Trandafir': 11},121.0,-138.0,-0.5324074074074074
10120,25 Trandafiri,484.2,484.2,{'Trandafir': 25},261.0,-223.0,-0.46055349029326725
1032,Lalele roz,179.0,179.0,{'Lalea': 15},86.0,-93.0,-0.5195530726256983
10169,Buchet martisor,374.0,374.0,{'Trandafir': 15},161.0,-213.0,-0.56951871657754
10378,Buchet lalele colorat,304.47,358.2,{'Lalea': 25},136.0,-168.0,-0.5517785003448615
10379,Buchet lalele duo,304.47,358.2,{'Lalea': 25},136.0,-168.0,-0.5517785003448615
10377,Elixir floral,468.18,520.2,"{'Trandafir': 7, 'Alstroemeria': 5, 'Minirosa': 4, 'Floarea-soarelui': 1}",154.0,-314.0,-0.6706822162416165
10307,Cos cu flori,502.2,502.2,"{'Alstroemeria': 20, 'Crizantema': 5}",151.0,-351.0,-0.6989247311827957
10225,Alb rosu,225.18,250.2,"{'Crin': 1, 'Trandafir': 4}",71.0,-154.0,-0.6838973265831779
102,Buchet de iubire,340.2,340.2,{'Trandafir': 13},141.0,-199.0,-0.5849500293944738
10380,Buchet 19 lalele,219.0,219.0,{'Lalea': 19},106.0,-113.0,-0.5159817351598174
10209,Nuante de roz,340.2,340.2,"{'Trandafir': 6, 'Alstroemeria': 9}",116.0,-224.0,-0.6584362139917695
1043,23 Trandafiri albi,469.8,469.8,{'Trandafir': 23},241.0,-229.0,-0.4874414644529587
1035,Buchet iris,412.2,412.2,{'Iris': 25},111.0,-301.0,-0.730228044638525
10302,Buchet 99 trandafiri roz,1602.18,1780.2,{'Trandafir': 99},1001.0,-601.0,-0.37511390730130195
1030,Lalele albe,179.0,179.0,{'Lalea': 15},86.0,-93.0,-0.5195530726256983
10401,Buchet 7 trandafiri,179.0,179.0,{'Trandafir': 7},81.0,-98.0,-0.547486033519553
10253,Lalele albe si rosii,219.0,219.0,{'Lalea': 19},106.0,-113.0,-0.5159817351598174
10301,Martisor 35,879.0,879.0,{'Trandafir': 35},361.0,-518.0,-0.5893060295790671
1031,Lalele galbene,179.0,179.0,{'Lalea': 15},86.0,-93.0,-0.5195530726256983
1050,Buchetul Paula,250.2,250.2,{'Trandafir': 9},101.0,-149.0,-0.595523581135092
10300,Love 79,1573.2,1573.2,{'Trandafir': 79},801.0,-772.0,-0.49071955250444954
10326,Buchet flori martie,430.2,430.2,"{'Alstroemeria': 7, 'Lalea': 7, 'Lisianthus': 5, 'Iris': 8}",153.0,-277.0,-0.6438865643886564
1091,Buchet lisianthus mov,277.2,277.2,{'Lisianthus': 7},67.0,-210.0,-0.7575757575757576
10308,Trandafiri cu eucalipt,376.2,376.2,{'Trandafir': 15},161.0,-215.0,-0.57150451887294
10187,Buchet narcise,223.2,223.2,{'Narcisa': 19},87.0,-136.0,-0.6093189964157706
1045,Buchet lisianthus alb,277.2,277.2,{'Lisianthus': 7},67.0,-210.0,-0.7575757575757576
1053,Alstroemeria albe,331.2,331.2,{'Alstroemeria': 9},56.0,-275.0,-0.8303140096618358
10249,Buchet de primavara,358.2,358.2,"{'Gerbera': 5, 'Crizantema': 10, 'Garoafa': 5, 'Iris': 3}",148.0,-210.0,-0.5862646566164155
10259,Crizanteme grena,268.2,268.2,{'Crizantema': 9},83.0,-185.0,-0.6897837434750187
10129,Gladiole rosii,250.56,313.2,{'Gladiole': 19},87.0,-164.0,-0.6545338441890166
1041,Cale albe deluxe,691.2,691.2,{'Cale': 19},239.0,-452.0,-0.6539351851851851
1027,Frezii galbene,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
10315,Incognito,628.2,628.2,"{'Trandafir': 18, 'Alstroemeria': 15}",266.0,-362.0,-0.5762496020375676
10122,Crizanteme albe,331.2,331.2,{'Crizantema': 9},83.0,-248.0,-0.748792270531401
10167,Buchet zambile,223.2,223.2,{'Zambila': 5},51.0,-172.0,-0.7706093189964158
10160,Cosulet Valentine's,249.0,249.0,{'Trandafir': 9},101.0,-148.0,-0.5943775100401606
10102,Buchet lalele rosii,298.08,331.2,{'Lalea': 25},136.0,-162.0,-0.5434782608695653
10128,Gladiole roz,250.56,313.2,{'Gladiole': 19},87.0,-164.0,-0.6545338441890166
1061,Crini cu santini,573.48,637.2,"{'Crin': 5, 'Crizantema': 8}",175.0,-398.0,-0.6940085094510706
10287,Amalgam cromatic,475.2,475.2,"{'Iris': 9, 'Santini': 4, 'Crizantema': 5, 'Trandafir': 7}",181.0,-294.0,-0.6186868686868687
1026,Frezii albe,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
10201,Buchet trandafiri rosii,529.2,529.2,{'Trandafir': 27},281.0,-248.0,-0.4686318972033257
10345,Cutie trandafiri rosii,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10179,Buchet zambile roz,223.2,223.2,{'Zambila': 5},51.0,-172.0,-0.7706093189964158
10267,Crini si crizanteme,298.08,331.2,"{'Crin': 2, 'Crizantema': 5}",91.0,-207.0,-0.6944444444444445
