Product name,Competitor Price (RON),Contents,Price N (RON),Difference,Difference (%)
Buchet 99 trandafiri,1798.0,{'Trandafir': 99},1001.0,-797.0,-0.4432703003337041
Trandafiri quatro,1698.0,{'Trandafir': 79},801.0,-897.0,-0.5282685512367491
Scantei de dragoste,1298.0,{'Trandafir': 59},601.0,-697.0,-0.536979969183359
Arsita florala,998.0,"{'Trandafir': 29, 'Frezia': 30}",451.0,-547.0,-0.5480961923847696
Buchet 59 trandafiri albi,1198.0,{'Trandafir': 59},601.0,-597.0,-0.498330550918197
Explozie de trandafiri,1078.0,{'Trandafir': 49},501.0,-577.0,-0.5352504638218923
Buchet nobil,1098.0,"{'Trandafir': 19, 'Iris': 30}",321.0,-777.0,-0.7076502732240437
Buchet trandafiri multicolori,878.0,{'Trandafir': 39},401.0,-477.0,-0.5432801822323462
Trandafiri in apus,758.0,{'Trandafir': 35},361.0,-397.0,-0.5237467018469657
Euforie florala,798.0,"{'Trandafir': 11, 'Crizantema': 6, 'Santini': 6, 'Iris': 8}",237.0,-561.0,-0.7030075187969925
Indulcitor floral,758.0,"{'Trandafir': 20, 'Hypericum': 9}",283.0,-475.0,-0.6266490765171504
Iris design,538.0,"{'Trandafir': 9, 'Iris': 18}",173.0,-365.0,-0.6784386617100372
Buchet 27 trandafiri portocalii,598.0,{'Trandafir': 27},281.0,-317.0,-0.5301003344481605
Buchet 27 trandafiri roz,598.0,{'Trandafir': 27},281.0,-317.0,-0.5301003344481605
Buchet 27 trandafiri rosii,598.0,{'Trandafir': 27},281.0,-317.0,-0.5301003344481605
Buchet frezii rosii,398.0,{'Frezia': 25},136.0,-262.0,-0.6582914572864321
Buchet lalele gelbene,378.0,{'Lalea': 25},136.0,-242.0,-0.6402116402116402
Buchet frezii galbene,398.0,{'Frezia': 25},136.0,-262.0,-0.6582914572864321
Buchet frezii,398.0,{'Frezia': 25},136.0,-262.0,-0.6582914572864321
Buchet extravagant,758.0,"{'Trandafir': 10, 'Cale': 10, 'Leucadendron': 5}",256.0,-502.0,-0.662269129287599
Buchet lalele rosii,378.0,{'Lalea': 25},136.0,-242.0,-0.6402116402116402
Dorinta rozalie,718.0,"{'Trandafir': 18, 'Hypericum': 7}",247.0,-471.0,-0.6559888579387186
Buchet lalele portocalii,378.0,{'Lalea': 25},136.0,-242.0,-0.6402116402116402
Buchet lalele mov,378.0,{'Lalea': 25},136.0,-242.0,-0.6402116402116402
Ecouri elegante,778.0,"{'Trandafir': 11, 'Cale': 7, 'Leucadendron': 7}",240.0,-538.0,-0.6915167095115681
Trandafiri cu hypericum,718.0,"{'Trandafir': 18, 'Hypericum': 7}",247.0,-471.0,-0.6559888579387186
Buchet vesel,388.0,"{'Crizantema': 10, 'Gerbera': 7, 'Garoafa': 8}",157.0,-231.0,-0.595360824742268
Buchet trandafiri si leucadendron,558.0,"{'Trandafir': 15, 'Leucadendron': 8}",201.0,-357.0,-0.6397849462365591
Perspectiva optimista,518.0,"{'Trandafir': 8, 'Gerbera': 9, 'Crin': 4}",225.0,-293.0,-0.5656370656370656
Buchet retro,348.0,"{'Crizantema': 7, 'Garoafa': 14}",109.0,-239.0,-0.6867816091954023
Trio mix,448.0,"{'Trandafir': 7, 'Gerbera': 7, 'Lisianthus': 7}",179.0,-269.0,-0.6004464285714286
Buchet 19 cale,718.0,{'Cale': 19},239.0,-479.0,-0.6671309192200557
Buchet gerbera,358.0,{'Gerbera': 19},125.0,-233.0,-0.6508379888268156
19 trandafiri albastri,438.0,{'Trandafir': 19},201.0,-237.0,-0.541095890410959
Buchet trandafiri martisor,458.0,{'Trandafir': 19},201.0,-257.0,-0.5611353711790393
Trandafiri inflacarati,478.0,{'Trandafir': 19},201.0,-277.0,-0.5794979079497908
Eleganta desavarsita,578.0,"{'Trandafir': 14, 'Crin': 5}",251.0,-327.0,-0.5657439446366782
19 trandafiri galbeni,428.0,{'Trandafir': 19},201.0,-227.0,-0.530373831775701
Buchet 19 trandafiri rosii,448.0,{'Trandafir': 19},201.0,-247.0,-0.5513392857142857
19 Trandafiri albi,428.0,{'Trandafir': 19},201.0,-227.0,-0.530373831775701
Buchet cu trachelium,438.0,"{'Trandafir': 9, 'Crizantema': 5}",141.0,-297.0,-0.678082191780822
Contemplare florala,478.0,"{'Trandafir': 7, 'Gerbera': 7, 'Crizantema': 5}",163.0,-315.0,-0.6589958158995816
Pastel insorit,578.0,"{'Crin': 2, 'Cale': 5, 'Gerbera': 5, 'Alstroemeria': 5}",166.0,-412.0,-0.71280276816609
Buchet de trandafiri,484.2,{'Trandafir': 17},181.0,-303.0,-0.6257744733581165
Buchet alstroemeria mix,378.0,{'Alstroemeria': 17},96.0,-282.0,-0.746031746031746
Diversitate florala,428.0,"{'Trandafir': 5, 'Crizantema': 4, 'Gerbera': 4, 'Santini': 4}",141.0,-287.0,-0.6705607476635514
Buchet sofisticat,588.0,"{'Trandafir': 8, 'Crin': 4, 'Hypericum': 5}",211.0,-377.0,-0.641156462585034
Ipostaze multiple,428.0,"{'Trandafir': 5, 'Gerbera': 4, 'Crizantema': 4, 'Santini': 4}",141.0,-287.0,-0.6705607476635514
Buchet trandafiri sofisticati,468.0,"{'Trandafir': 10, 'Leucadendron': 5}",136.0,-332.0,-0.7094017094017094
Bucurie fara margini,578.0,"{'Crin': 3, 'Minirosa': 5, 'Lisianthus': 7}",177.0,-401.0,-0.6937716262975778
Buchet de sarbatori,398.0,"{'Gerbera': 8, 'Crizantema': 4, 'Trandafir': 3}",121.0,-277.0,-0.6959798994974874
Prizonierii dragostei,366.0,{'Trandafir': 15},161.0,-205.0,-0.5601092896174863
Buchet roz,398.0,"{'Trandafir': 8, 'Alstroemeria': 7}",126.0,-272.0,-0.6834170854271356
Buchet crini si trandafiri,498.0,"{'Trandafir': 10, 'Crin': 3}",171.0,-327.0,-0.6566265060240963
Aparitie inflacarata,368.0,"{'Trandafir': 9, 'Crizantema': 4}",133.0,-235.0,-0.6385869565217391
Buchet multicolor,338.0,"{'Gerbera': 6, 'Crizantema': 5, 'Santini': 2}",99.0,-239.0,-0.7071005917159763
Buchet de toamna,338.0,{'Crizantema': 13},115.0,-223.0,-0.6597633136094675
Buchet 11 trandafiri,294.0,{'Trandafir': 11},121.0,-173.0,-0.5884353741496599
Buchet liliac,318.0,{'Liliac': 9},191.0,-127.0,-0.39937106918238996
Soare de vara,278.0,{'Floarea-soarelui': 7},67.0,-211.0,-0.7589928057553957
Cei sapte magnifici,238.0,{'Trandafir': 7},81.0,-157.0,-0.6596638655462185
Strajerul iubirii,278.0,"{'Crin': 1, 'Trandafir': 6}",91.0,-187.0,-0.6726618705035972
Buchet crini albi,318.0,{'Crin': 5},111.0,-207.0,-0.6509433962264151
Buchet ginger,398.0,{'Ginger': 5},61.0,-337.0,-0.8467336683417085
Buchet crini orientali,318.0,{'Crin': 5},111.0,-207.0,-0.6509433962264151
