Product ID,Product name,Price (RON),Original Price (RON),Contents
10418,Buchet trandafiri Maria,199.0,199.0,{'Trandafiri': 7}
10366,Dulce primavara,439.0,439.0,{'Trandafiri': 17}
10423,Buchet 19 irisi mov,311.4,311.4,{'Irisi': 19}
10276,Buchet lalele multicolore,304.47,358.2,{'Lalele': 25}
10279,Frezii si trandafiri,385.2,385.2,"{'Trandafiri': 7, 'Frezii': 14}"
10434,Buchet 101 lalele,1078.2,1078.2,{'Lalele': 101}
1025,Frezii multicolore,367.2,367.2,{'Frezii': 25}
10414,Buchet crini roz,314.28,349.2,{'Crini': 5}
10370,Cutie 7 trandafiri rosii,249.0,249.0,{'Trandafiri': 7}
10371,Cutie 7 trandafiri roz,249.0,249.0,{'Trandafiri': 7}
10372,Cutie 7 trandafiri albi,249.0,249.0,{'Trandafiri': 7}
10299,Pachet de primavara,329.0,329.0,"{'Trandafiri': 4, 'Gerbera': 4, 'Crizanteme': 4, 'Garoafe': 5}"
10413,Simfonie Florala,417.6,417.6,"{'Trandafiri': 7, 'Gerbera': 7, 'Crizanteme': 4, 'Garoafe': 7, 'Hypericum': 2}"
10275,Ursulet cu trandafiri,242.1,269.0,"{'Trandafiri': 7, 'Ursulet de plus': 1}"
101,19 Trandafiri,394.2,394.2,{'Trandafiri': 19}
10298,Buchet 99 trandafiri rosii,1690.31,1798.2,{'Trandafiri': 99}
10415,Buchet 201 trandafiri,3238.38,3598.2,{'Trandafiri': 201}
1014,11 Trandafiri rosii,259.2,259.2,{'Trandafiri': 11}
10277,Buchet 5 trandafiri,149.0,149.0,{'Trandafiri': 5}
1017,11 Trandafiri roz,259.2,259.2,{'Trandafiri': 11}
1016,11 Trandafiri albi,259.2,259.2,{'Trandafiri': 11}
10281,Buchet 35 trandafiri,673.2,673.2,{'Trandafiri': 35}
10162,Senzualitate magica,1078.2,1078.2,{'Trandafiri': 59}
10106,11 Trandafiri portocalii,259.2,259.2,{'Trandafiri': 11}
1015,11 Trandafiri galbeni,259.2,259.2,{'Trandafiri': 11}
10120,25 Trandafiri,484.2,484.2,{'Trandafiri': 25}
1032,Lalele roz,179.0,179.0,{'Lalele': 15}
10169,Buchet martisor,374.0,374.0,{'Trandafiri': 15}
10378,Buchet lalele colorat,304.47,358.2,{'Lalele': 25}
10379,Buchet lalele duo,304.47,358.2,{'Lalele': 25}
10377,Elixir floral,468.18,520.2,"{'Trandafiri': 7, 'Alstroemeria': 5, 'Minirosa': 4, 'Floarea soarelui': 1}"
10307,Cos cu flori,502.2,502.2,"{'Alstroemeria': 20, 'Crizanteme': 5}"
10225,Alb rosu,225.18,250.2,"{'Crini': 1, 'Trandafiri': 4}"
102,Buchet de iubire,340.2,340.2,{'Trandafiri': 13}
10380,Buchet 19 lalele,219.0,219.0,{'Lalele': 19}
10209,Nuante de roz,340.2,340.2,"{'Trandafiri': 6, 'Alstroemeria': 9}"
1043,23 Trandafiri albi,469.8,469.8,{'Trandafiri': 23}
1035,Buchet iris,412.2,412.2,{'Irisi': 25}
10302,Buchet 99 trandafiri roz,1602.18,1780.2,{'Trandafiri': 99}
1030,Lalele albe,179.0,179.0,{'Lalele': 15}
10401,Buchet 7 trandafiri,179.0,179.0,{'Trandafiri': 7}
10253,Lalele albe si rosii,219.0,219.0,{'Lalele': 19}
10301,Martisor 35,879.0,879.0,{'Trandafiri': 35}
10271,Valentin dulce,319.0,319.0,"{'Trandafiri': 11, 'Cutie raffaello': 1}"
1031,Lalele galbene,179.0,179.0,{'Lalele': 15}
1050,Buchetul Paula,250.2,250.2,{'Trandafiri': 9}
10300,Love 79,1573.2,1573.2,{'Trandafiri': 79}
1064,Buchet strelitia,466.2,466.2,{'Bird of paradise': 7}
10326,Buchet flori martie,430.2,430.2,"{'Alstroemeria': 7, 'Lalele': 7, 'Lisianthus': 5, 'Irisi': 8}"
1091,Buchet lisianthus mov,277.2,277.2,{'Lisianthus': 7}
10308,Trandafiri cu eucalipt,376.2,376.2,{'Trandafiri': 15}
10187,Buchet narcise,223.2,223.2,{'Narcise': 19}
1045,Buchet lisianthus alb,277.2,277.2,{'Lisianthus': 7}
1053,Alstroemeria albe,331.2,331.2,{'Alstroemeria': 9}
10249,Buchet de primavara,358.2,358.2,"{'Gerbera': 5, 'Crizanteme': 10, 'Garoafe': 5, 'Irisi': 3}"
10259,Crizanteme grena,268.2,268.2,{'Crizanteme': 9}
10129,Gladiole rosii,250.56,313.2,{'Gladiole': 19}
1041,Cale albe deluxe,691.2,691.2,{'Cale': 19}
1027,Frezii galbene,367.2,367.2,{'Frezii': 25}
10315,Incognito,628.2,628.2,"{'Trandafiri': 18, 'Alstroemeria': 15}"
10122,Crizanteme albe,331.2,331.2,{'Crizanteme': 9}
10167,Buchet zambile,223.2,223.2,{'Zambile': 5}
10160,Cosulet Valentine's,249.0,249.0,{'Trandafiri': 9}
10102,Buchet lalele rosii,298.08,331.2,{'Lalele': 25}
10128,Gladiole roz,250.56,313.2,{'Gladiole': 19}
1061,Crini cu santini,573.48,637.2,"{'Crini': 5, 'Crizanteme': 8}"
10287,Amalgam cromatic,475.2,475.2,"{'Irisi': 9, 'Santini': 4, 'Crizanteme': 5, 'Trandafiri': 7}"
10174,Orhidee cymbidium verzi,538.2,538.2,{'Orhidee': 3}
1026,Frezii albe,367.2,367.2,{'Frezii': 25}
10201,Buchet trandafiri rosii,529.2,529.2,{'Trandafiri': 27}
10345,Cutie trandafiri rosii,484.2,484.2,{'Trandafiri': 19}
10179,Buchet zambile roz,223.2,223.2,{'Zambile': 5}
10267,Crini si crizanteme,298.08,331.2,"{'Crini': 2, 'Crizanteme': 5}"
10152,Buna seara,412.2,412.2,"{'Trandafiri': 5, 'Crizanteme': 5, 'Alstroemeria': 7}"
10297,39 Trandafiri rosii,718.2,718.2,{'Trandafiri': 39}
10168,Buchet zambile albe,223.2,223.2,{'Zambile': 5}
10150,Buchet lalele mov,331.2,331.2,{'Lalele': 25}
10289,Buchet cale,349.2,349.2,{'Cale': 9}
10173,Bambus cu orhidee,457.2,457.2,"{'Orhidee': 9, 'Bambus': 4}"
10310,Adorabil,322.2,322.2,"{'Gerbera': 7, 'Crizanteme': 4}"
10206,Buchet floarea soarelui,313.2,313.2,{'Floarea soarelui': 11}
