Product name,Price (RON),Contents
buchet din minirose ,319,{'Minirosa': 19}
"Buchet de flori cu liliac, bujori, orhidee cymbidium",370,"{'Liliac': 1, 'Bujor': 3, 'Trandafir': 4, 'Lalea': 3, 'Frezia': 3, 'Cupe': 3, 'Alstroemeria': 2}"
Buchet cu trandafiri bujori lisianthus matiola si minirose ,339,"{'Bujor': 4, 'Trandafir': 5, 'Minirosa': 3, 'Mattiola': 3, 'Oxipetalum': 4, 'Lisianthus': 2}"
"Buchet cu trandafiri, frezii si alstoemeria",189,"{'Trandafir': 5, 'Alstroemeria': 5, 'Frezia': 5}"
13 bujori cu ambalaj ,385,{'Bujor': 13}
Buchet de flori in nuante de roz cu trandafiri lisantus si frezii,225,"{'Trandafir': 5, 'Lisianthus': 4, 'Frezia': 4}"
"Buchet de flori in culori pastelate cu minirose, lisiantus, matiolla, gerbera ",199,"{'Lisianthus': 2, 'Minirosa': 2, 'Mattiola': 3, 'Frezia': 3}"
buchet cu flori in nuante de galbene si portocaliu,219,"{'Gerbera': 15, 'Trandafir': 5, 'Solidago': 3}"
Buchet cu flori pastelate,199,"{'Trandafir': 4, 'Crizantema': 3, 'Alstroemeria': 4, 'Frezia': 5}"
"Buchet de flori cu trandafiri, gerbera si alstroemeria",169,"{'Trandafir': 5, 'Crizantema': 2, 'Alstroemeria': 3, 'Gerbera': 3}"
Trandafiri roz pal si lisianthus,239,"{'Trandafir': 5, 'Lisianthus': 6}"
"Buchet colorat cu frezii, lalele si eucalipt",319,"{'Lalea': 15, 'Frezia': 16}"
"Buchet cu trandafiri, minirose si eucalipt",219,"{'Trandafir': 5, 'Minirosa': 6}"
"Buchet colorat cu narcise, lalele, frezii, gerbera si lisantus",199,"{'Gerbera': 3, 'Narcisa': 4, 'Lalea': 4, 'Lisianthus': 2, 'Frezia': 3}"
"Buchet cu hortensie, lisianthus si trandafiri",339,"{'Hortensie': 2, 'Trandafir': 6, 'Lisianthus': 5, 'Eryngium': 2}"
Buchet cu lalele colorate,329,{'Lalea': 39}
buchet in nuate de roz si peach ,179,"{'Trandafir': 3, 'Mattiola': 3, 'Alstroemeria': 3, 'Fir': 1}"
buchet cu 51 frezii colorate,419,{'Frezia': 51}
"buchet cu 33 lalele galbene, portocalii si mov",249,{'Lalea': 33}
buchet de flori cu matiola lisiantus si frezii ,189,"{'Minirosa': 1, 'Lisianthus': 3, 'Frezia': 2, 'Mattiola': 2, 'Philodendron': 2}"
lalele colorate vin si bomboane raffaello,339,{'Lalea': 33}
"Buchet cu trandafiri, crizantema si alstroemeria",195,"{'Trandafir': 5, 'Crizantema': 2, 'Alstroemeria': 4}"
Buchet colorat cu frezii si lalele,259,"{'Lalea': 13, 'Frezia': 10}"
Buchet cu 51 trandafiri rosii,689,"{'Trandafir': 51, 'Ruscus': 10}"
Buchetel cu frezii si lalele,199,"{'Lalea': 10, 'Frezia': 5}"
Buchet cu 49 trandafiri albi,649,{'Trandafir': 49}
"Buchet cu hortensie, frezii, crizantema si gerbera ",319,"{'Hortensie': 3, 'Frezia': 6, 'Gerbera': 4, 'Crizantema': 3}"
Buchet lalele multicolore si verdeata,239,"{'Lalea': 23, 'Gypsophila': 2}"
Buchet cu 49 trandafiri albi si galbeni,649,{'Trandafir': 49}
buchet din trandafiri matiola si alstroemeria ,169,"{'Trandafir': 3, 'Mattiola': 3, 'Alstroemeria': 3, 'Minirosa': 1}"
"Buchet cu trandafiri,crizantema, garoafe si hypericum",219,"{'Crizantema': 3, 'Garoafa': 5, 'Hypericum': 5}"
10 trandafiri si 13 minirose,379,"{'Trandafir': 10, 'Minirosa': 13}"
buchet de flori cu trandafiri portocalii si frezii albe ,379,"{'Trandafir': 20, 'Frezia': 13, 'Bucle': 5}"
buchet flori colorat,269,"{'Hortensie': 2, 'Trandafir': 3, 'Alstroemeria': 3, 'Minirosa': 2, 'Gerbera': 2}"
15 bujori in diferite nuante de roz ,435,{'Bujor': 15}
"Buchet cu hortensii, minirose, vanda, lalele si lisiantus ",259,"{'Hortensie': 1, 'Lisianthus': 2, 'Lalea': 4, 'Minirosa': 2, 'Vanda': 3}"
aranjament floral cu trandafiri si lisianthus,419,"{'Trandafir': 17, 'Eustoma': 3}"
"Buchet cu lalele,trandafiri si frezii",439,"{'Lalea': 16, 'Frezia': 16, 'Trandafir': 13}"
"Buchet de primavara cu lalele, irisi si frezii",399,"{'Frezia': 20, 'Iris': 8, 'Cordyline': 9}"
Buchetel cu lalele frezii cupa vanda si clematis,99,"{'Lalea': 3, 'Frezia': 3, 'Clematis': 1}"
Buchet de 27 trandafiri galbeni,399,"{'Trandafir': 27, 'Ruscus': 5, 'Panglica': 2}"
Buchet cu 21 lalele albe si galbene,199,{'Lalea': 21}
"Buchet trandafiri, lalele si limonium",320,"{'Trandafir': 5, 'Lalea': 10, 'Limonium': 4}"
Buchet cu 49 de trandafiri rosii,649,{'Trandafir': 49}
"Buchet cu trandafiri, hypericum si crizantema",339,"{'Crizantema': 6, 'Hypericum': 10, 'Trandafir': 12}"
Buchet cu 101 lalele,789,{'Lalea': 101}
"Buchetel de primavara, lalele, freezii si irisi ",145,"{'Lalea': 4, 'Frezia': 4, 'Iris': 3}"
buchet colorat de flori ,319,"{'Trandafir': 8, 'Minirosa': 3, 'Crizantema': 2, 'Cupe': 2, 'Alstroemeria': 2, 'Eryngium': 1, 'Gerbera': 3, 'Bucle': 3, 'Pittosporum': 3}"
101 trandafiri rosii si orhidee vanda ,1349,"{'Trandafir': 101, 'Cupe': 3}"
49 de lalele albe si roz,379,{'Lalea': 49}
Buchet superb cu 101 trandafiri rosii si albi,1299,{'Trandafir': 101}
"Buchet special cu lalele Vip Rose, bujori, hortensie, trandafiri ",479,"{'Bujor': 3, 'Lalea': 9, 'Trandafir': 5, 'Hortensie': 2, 'Cupe': 3, 'Alstroemeria': 4, 'Chamelaucium': 3}"
101 trandafiri roz si albi ,1199,{'Trandafir': 101}
Buchet cu floarea soarelui trandafiri matiola si solidago ,239,"{'Floarea-soarelui': 5, 'Trandafir': 5, 'Mattiola': 5, 'Solidago': 3}"
"buchet cu hortensie, bujori, trandafiri, alstroeria ",329,"{'Bujor': 3, 'Trandafir': 6, 'Alstroemeria': 3, 'Lalea': 3, 'Minirosa': 2, 'Chamelaucium': 1, 'Hortensie': 1}"
buchet cu 19 trandafiri lila ,245,{'Trandafir': 19}
"Buchet cu trandafiri, lalele si frezii",219,"{'Trandafir': 7, 'Frezia': 6, 'Lalea': 4}"
25 de trandafiri cu eucalipt si cordiline ,399,{'Trandafir': 25}
15 trandafiri mov si limonium,249,"{'Trandafir': 15, 'Limonium': 4, 'Panglica': 1}"
Buchet cu flori albe mixate,259,"{'Trandafir': 5, 'Frezia': 5, 'Cupe': 8, 'Aspidistra': 7}"
"Buchet cu matiola, trandafiri, alstroemeria, lisianthus si astrantia",285,"{'Trandafir': 6, 'Mattiola': 6, 'Alstroemeria': 4, 'Lisianthus': 3, 'Boupleurum': 4, 'Astrantia': 3}"
Trandafirii iubirii,399,{'Trandafir': 25}
Buchet cu flori mixate de primavara,199,"{'Trandafir': 3, 'Cupe': 3, 'Lalea': 3, 'Frezia': 3, 'Alstroemeria': 2, 'Liliac': 1}"
buchet di trandafiri si minirose ,439,"{'Minirosa': 10, 'Trandafir': 17}"
Buchet cu 33 trandafiri rosii roz si albi ,499,{'Trandafir': 33}
Buchet cu flori roz si albe ,189,"{'Trandafir': 5, 'Alstroemeria': 5, 'Frezia': 4}"
Buchet portocaliu cu trandafiri minirosa si gerbera,279,"{'Minirosa': 10, 'Gerbera': 9, 'Pittosporum': 5}"
Buchet cu 21 lalele albe,199,{'Lalea': 21}
buchet cu floarea sorelui si gerbera,169,"{'Floarea-soarelui': 9, 'Gerbera': 3, 'Solidago': 3}"
Buchet din flori galbene cu narcise si lalele,299,"{'Narcisa': 19, 'Lalea': 10, 'Chamelaucium': 4}"
Buchet cu flori galbene,299,"{'Trandafir': 5, 'Minirosa': 5, 'Craspedia': 8, 'Solidago': 4}"
buchet de primavara cu lalele colorate,185,{'Lalea': 19}
buchet cu 33 lalele albe si mov,299,{'Lalea': 33}
buchet de flori cu 11 zambile,149,{'Zambila': 11}
buchet cu 101 lalele galbene,789,{'Lalea': 101}
Buchet cu 19 trandafiri roz si verdeata,299,"{'Trandafir': 19, 'Bucle': 7, 'Pittosporum': 6, 'Ambalaj': 1}"
buchet deosebit cu trandafiri rosii ranunculus si chamelaucium,519,"{'Trandafir': 19, 'Ranunculus': 10, 'Chamelaucium': 5}"
buchet cu 19 bujori si verdeata,539,{'Bujor': 19}
buchet cu trandafiri rosii si chamelaucium roz,155,"{'Trandafir': 3, 'Chamelaucium': 4}"
Buchet cu 19 trandafiri,339,{'Trandafir': 19}
Buchet cu 5 trandafiri,149,{'Trandafir': 5}
"Buchet cu orhidee, lisiantus, minirose si gerbera ",295,"{'Cupe': 3, 'Minirosa': 4, 'Lisianthus': 5, 'Gerbera': 4, 'Musetel': 5}"
Buchet cu flori in nuante de roz,249,"{'Trandafir': 6, 'Minirosa': 5, 'Crizantema': 3}"
Buchet cu flori rosii,215,"{'Trandafir': 5, 'Gerbera': 5, 'Hypericum': 5}"
buchet cu 29 lalele albe ,249,{'Lalea': 29}
"Buchet cu crizantema, garoafe si gerbera",169,"{'Crizantema': 6, 'Gerbera': 5, 'Garoafa': 4}"
"Buchet cu trandafiri, hypericum, alstroemeria si gerbera",299,"{'Trandafir': 9, 'Hypericum': 7, 'Alstroemeria': 5, 'Gerbera': 6}"
"Buchet cu flori, galbene, portocalii si rosii",299,"{'Trandafir': 8, 'Gerbera': 7, 'Hypericum': 9, 'Solidago': 3}"
Buchet cu crizantema roz si alstroemeria galbena,159,"{'Crizantema': 3, 'Alstroemeria': 6}"
Buchet cu trandafiri si hypericum,229,"{'Trandafir': 7, 'Hypericum': 5, 'Crizantema': 3}"
"Buchet cu gerbera, alstroemeria si crizantema ",169,"{'Gerbera': 5, 'Alstroemeria': 3, 'Crizantema': 3}"
Buchet cu flori portocalii si roz,299,"{'Minirosa': 8, 'Minigerbera': 7, 'Limonium': 3, 'Alstroemeria': 3}"
"Buchet cu lalele, trandafiri, anemone",319,"{'Trandafir': 7, 'Lalea': 10, 'Anemone': 8}"
"Buchet cu orhidee, trandafiri, hypericum si gerbera",269,"{'Trandafir': 4, 'Cupe': 6, 'Gerbera': 5, 'Hypericum': 5}"
Buchet cu 15 trandafiri rosii,269,{'Trandafir': 15}
Buchet de flori 25 de lalele,245,{'Lalea': 25}
Buchet cu 101 trandafiri roz ,1199,{'Trandafir': 101}
Buchet cu 101 trandafiri,1299,{'Trandafir': 101}
buchet de flori cu antininium ,399,"{'Anthurium': 29, 'Monstera': 4}"
19 bujori cu eucalipt ,535,{'Bujor': 19}
Buchet cu trandafiri rosii si irisi,289,"{'Trandafir': 13, 'Iris': 12}"
Buchet cu lalele si irisi,239,"{'Lalea': 13, 'Iris': 12}"
25 de trandafiri cu eucalipt,389,{'Trandafir': 25}
